document_order,depth,node_type,node_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
22,6,introduction,J8PfCNzx,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,CNJ74M0q,Algebraic Expressions,introduction,J8PfCNzx,Introduction,,,
23,6,introduction,tYPEJkTH,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,CNJ74M0q,Algebraic Expressions,introduction,tYPEJkTH,Introduction,,,
24,6,introduction,Zc7X5kqi,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,CNJ74M0q,Algebraic Expressions,introduction,Zc7X5kqi,Introduction,,,
25,5,subsection,L941Au1d,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,L941Au1d,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",,,,,,
26,6,introduction,lZMikhsY,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,L941Au1d,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",introduction,lZMikhsY,Introduction,,,
27,5,subsection,subsection-evaluating-expressions-with-negative-numbers,Evaluating Expressions with Negative Numbers,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,subsection-evaluating-expressions-with-negative-numbers,Evaluating Expressions with Negative Numbers,,,,,,
28,6,introduction,DcZkd41S,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,subsection,subsection-evaluating-expressions-with-negative-numbers,Evaluating Expressions with Negative Numbers,introduction,DcZkd41S,Introduction,,,
29,5,exercises,bVTWwfNo,,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,,,,,,
30,6,introduction,QKd42ivY,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,QKd42ivY,Introduction,,,
31,6,introduction,93TWr2Uj,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,93TWr2Uj,Introduction,,,
