collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,3,1,fs-id1385496,Add Whole Numbers Without Models,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,4,1,fs-id2691382,Translate Word Phrases to Math Notation,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,5,1,fs-id2197427,Add Whole Numbers in Applications,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,6,1,fs-id1611455,Key Concepts,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,7,2,fs-id2150139,Practice Makes Perfect,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,8,2,fs-id2280700,Everyday Math,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,9,2,fs-id1405751,Writing Exercises,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,10,2,eip-985,Self Check,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,module,,,,,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,1,1,fs-id1799687,Use Subtraction Notation,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,2,1,fs-id1824154,Model Subtraction of Whole Numbers,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,3,1,fs-id1185692,Subtract Whole Numbers,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,4,1,fs-id2567736,Translate Word Phrases to Math Notation,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,5,1,fs-id1828922,Subtract Whole Numbers in Applications,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,6,1,fs-id1379009,Key Concepts,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,7,2,fs-id2908415,Practice Makes Perfect,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,8,2,fs-id2141061,Everyday Math,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,9,2,fs-id2443393,Writing Exercises,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,4,m81245,Subtract Whole Numbers,section,10,2,eip-538,Self Check,PREALG/modules/m81245/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,module,,,,,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,1,1,fs-id2264601,Use Multiplication Notation,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,2,1,fs-id1321319,Model Multiplication of Whole Numbers,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,3,1,fs-id2483732,Multiply Whole Numbers,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,4,1,fs-id2762475,Translate Word Phrases to Math Notation,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,5,1,fs-id2751534,Multiply Whole Numbers in Applications,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,6,1,fs-id1475244,Key Concepts,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,7,2,fs-id1566236,Practice Makes Perfect,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,8,2,fs-id1951597,Everyday Math,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,9,2,fs-id1266681,Writing Exercises,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,5,m81255,Multiply Whole Numbers,section,10,2,eip-734,Self Check,PREALG/modules/m81255/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,module,,,,,PREALG/modules/m81256/index.cnxml
