document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
19,5,subsection,ORCCAh4HeaQFCqB,,Introduction to Variables,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAh4HeaQFCqB,Introduction to Variables,,,,,,
20,6,introduction,ORCCAgTxQz6OMck,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAh4HeaQFCqB,Introduction to Variables,introduction,ORCCAgTxQz6OMck,Introduction,,,
21,5,subsection,ORCCAWfWPdsWTjH,,Algebraic Expressions,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAWfWPdsWTjH,Algebraic Expressions,,,,,,
22,6,introduction,ORCCA3eEDSuPCcR,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAWfWPdsWTjH,Algebraic Expressions,introduction,ORCCA3eEDSuPCcR,Introduction,,,
23,6,introduction,ORCCA9SXbQpjECS,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAWfWPdsWTjH,Algebraic Expressions,introduction,ORCCA9SXbQpjECS,Introduction,,,
24,6,introduction,ORCCAeon01VgE40,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAWfWPdsWTjH,Algebraic Expressions,introduction,ORCCAeon01VgE40,Introduction,,,
25,5,subsection,ORCCAXmPRSfEXfo,,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAXmPRSfEXfo,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",,,,,,
26,6,introduction,ORCCAnXVGfa0XsI,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAXmPRSfEXfo,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",introduction,ORCCAnXVGfa0XsI,Introduction,,,
27,5,subsection,ORCCAZ0bCj1KpWR,subsection-evaluating-expressions-with-negative-numbers,Evaluating Expressions with Negative Numbers,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAZ0bCj1KpWR,Evaluating Expressions with Negative Numbers,,,,,,
28,6,introduction,ORCCArS70oyLKea,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,subsection,ORCCAZ0bCj1KpWR,Evaluating Expressions with Negative Numbers,introduction,ORCCArS70oyLKea,Introduction,,,
